ts,event,session,payload_len,payload_hex
1787904809.480993,34680,0084,12,66 66 70 42 AE 47 47 42 DD A4 86 42
1787904809.486032,34680,0085,12,66 66 10 43 EC 51 58 42 8A 81 E3 42
1787904809.496412,34680,0086,12,9A 99 0F 43 70 3D 82 42 50 8D 4B 42
1787904809.506775,34680,0087,12,CC CC A6 42 9A 99 3F 42 1F 85 CF 41
1787904809.517673,34680,0088,12,9A 99 7D 42 14 AE B3 41 E6 50 93 42
1787904809.528492,34680,0089,12,9A 99 13 43 1F 85 E7 41 83 00 DA 42
1787904809.539167,34680,008a,12,34 33 CC 42 52 B8 12 42 EE 3C EA 42
1787904809.549654,34680,008b,12,66 66 9E 42 85 EB 92 42 3E CA 9F 42
1787904809.560520,34680,008c,12,00 80 08 43 00 00 91 42 CD 0C E9 42
1787904809.571128,34680,008d,12,00 00 D5 42 48 E1 68 42 25 06 C4 42
1787904809.582142,34680,008e,12,66 66 10 43 66 66 9C 42 DF CF 31 42
1787904809.594417,34680,008f,12,00 80 0B 43 3E 0A DB 41 8A C1 CA 42
1787904809.604895,34680,0090,12,00 00 D3 42 C2 F5 C4 41 4C F7 B5 42
1787904809.615439,34680,0091,12,00 00 03 43 33 33 13 42 62 90 36 42
1787904809.626033,34680,0092,12,33 33 5B 42 5C 8F 04 42 C0 4A 02 42
1787904809.636664,34680,0093,12,66 66 4C 42 C2 F5 C4 41 3E 0A 2F 42
1787904809.647652,34680,0094,12,CC 4C 15 43 85 EB 79 42 BE 9F 30 42
1787904809.658178,34680,0095,12,66 66 14 43 9A 99 39 42 29 5C 72 42
1787904809.668795,34680,0096,12,9A 99 9D 42 D7 A3 A8 41 3B 1F CE 42
1787904809.679373,34680,0097,12,CD CC A8 42 0A D7 AF 41 B2 1D 4F 42
1787904809.689946,34680,0098,12,00 00 FE 42 00 00 AC 41 F2 D2 1C 42
1787904809.700365,34680,0099,12,9A 99 BC 42 29 5C 82 42 21 B0 65 42
1787904809.711653,34680,009a,12,33 33 F3 42 29 5C 1B 42 A0 9A 8A 42
1787904809.722551,34680,009b,12,CD CC 98 42 CD CC E0 41 0E AD D2 42
1787904809.733231,34680,009c,12,CC CC CD 42 E1 7A 06 42 BC 74 2D 42
1787904809.743882,34680,009d,12,66 66 DF 42 7B 14 98 42 21 B0 BD 42
1787904809.754480,34680,009e,12,66 66 BD 42 00 00 9D 42 0C 02 B3 41
1787904809.765213,34680,009f,12,33 33 A2 42 70 3D D6 41 C2 F5 36 42
1787904809.775909,34680,00a0,12,CD CC F1 42 7B 14 8F 42 95 43 AC 42
1787904809.786633,34680,00a1,12,33 33 A2 42 48 E1 D2 41 A6 DB AC 42
1787904809.797510,34680,00a2,12,00 00 A7 42 CD CC 10 42 00 C0 A3 42
1787904809.808126,34680,00a3,12,CD CC AA 42 A4 70 95 42 8F 42 D4 42
1787904809.818649,34680,00a4,12,00 00 B8 42 52 B8 A6 41 CD 4C D0 42
1787904809.830003,34680,00a5,12,66 66 10 43 33 33 73 42 1F C5 A1 42
1787904809.840811,34680,00a6,12,9A 99 83 42 33 33 43 42 B0 72 7D 42
1787904809.851547,34680,00a7,12,66 66 DA 42 F6 28 D8 41 7D BF B7 42
1787904809.862416,34680,00a8,12,99 99 DF 42 71 3D 6C 42 C5 20 3A 42
1787904809.873051,34680,00a9,12,00 00 B0 42 5C 8F 89 42 F2 12 BF 42
1787904809.883643,34680,00aa,12,00 00 9F 42 A4 70 37 42 31 08 D7 42
1787904809.899884,34680,00ab,12,34 33 04 43 14 AE 13 42 FE 54 B9 42
1787904809.910577,34680,00ac,12,00 00 13 43 E2 7A 5A 42 25 06 09 42
1787904809.922032,34680,00ad,12,9A 99 92 42 1F 85 4D 42 76 FE C6 42
1787904809.935071,34680,00ae,12,33 33 10 43 A4 70 4F 42 25 06 6C 42
1787904809.945278,34680,00af,12,33 33 AE 42 B8 1E D9 41 2D B2 D0 42
1787904809.957812,34680,00b0,12,9A 99 B7 42 B8 1E 4B 42 E8 FB C7 42
1787904809.968830,34680,00b1,12,CD 4C 0B 43 9A 99 0F 42 7F 6A 31 42
1787904809.979582,34680,00b2,12,33 33 90 42 00 00 94 42 8C 6C 44 42
1787904809.990506,34680,00b3,12,CD CC 74 42 48 E1 8D 42 EF A7 7C 42
1787904810.001005,34680,00b4,12,66 66 A4 42 14 AE 0D 42 3B 5F 5D 42
1787904810.011623,34680,00b5,12,00 00 C8 42 F6 28 5C 42 29 1C E3 42
1787904810.022129,34680,00b6,12,33 33 0D 43 0A D7 2D 42 3E 8A B8 42
1787904810.034099,34680,00b7,12,9A 99 CF 42 E1 7A E8 41 76 FE C6 42
1787904810.044900,34680,00b8,12,33 33 C5 42 5C 8F 89 42 08 2C C9 42
1787904810.058036,34680,00b9,12,9A 19 08 43 5C 8F FE 41 B0 72 D5 42
