ts,event,session,payload_len,payload_hex
1787900460.609645,34680,03a5,12,02 A1 59 42 B9 E3 F0 41 00 00 4C 42
1787900460.610133,34680,03a6,12,B9 BC 62 42 49 E1 0B 42 00 00 50 42
1787900460.612037,34680,03a7,12,73 93 6D 42 EA B5 21 42 00 00 54 42
1787900460.613405,34680,03a8,12,9E 09 7A 42 50 11 39 42 00 00 58 42
1787900460.614750,34680,03a9,12,AE FF 83 42 1B 05 51 42 00 00 5C 42
1787900460.615958,34680,03aa,12,7C A8 8B 42 D8 9C 68 42 00 00 60 42
1787900460.617208,34680,03ab,12,CD EB 93 42 2A E8 7E 42 00 00 64 42
1787900460.619150,34680,03ac,12,2A B4 9C 42 57 81 89 42 00 00 68 42
1787900460.620495,34680,03ad,12,45 EB A5 42 D5 0F 92 42 00 00 6C 42
1787900460.621704,34680,03ae,12,8D 79 AF 42 3D C8 98 42 00 00 70 42
1787900460.623064,34680,03af,12,8F 46 B9 42 F8 65 9D 42 00 00 74 42
1787900460.624280,34680,03b0,12,6D 39 C3 42 F0 B9 9F 42 00 00 78 42
1787900460.625649,34680,03b1,12,50 38 CD 42 4B AC 9F 42 00 00 7C 42
1787900460.626985,34680,03b2,12,D9 29 D7 42 A7 3D 9D 42 00 00 80 42
1787900460.628344,34680,03b3,12,9A F4 E0 42 D6 86 98 42 00 00 82 42
1787900460.629644,34680,03b4,12,86 7F EA 42 F3 B7 91 42 00 00 84 42
1787900460.630878,34680,03b5,12,61 B2 F3 42 4B 16 89 42 00 00 86 42
1787900460.632163,34680,03b6,12,49 75 FC 42 97 F4 7D 42 00 00 88 42
1787900460.633389,34680,03b7,12,02 59 02 43 F2 95 67 42 00 00 8A 42
1787900460.634863,34680,03b8,12,C0 29 06 43 F2 F4 4F 42 00 00 8C 42
1787900460.636157,34680,03b9,12,1C A3 09 43 BF 02 38 42 00 00 8E 42
1787900460.637640,34680,03ba,12,42 BC 0C 43 48 B3 20 42 00 00 90 42
1787900460.639057,34680,03bb,12,26 6D 0F 43 5C F5 0A 42 00 00 92 42
1787900460.640354,34680,03bc,12,F8 AE 11 43 CF 4C EF 41 00 00 94 42
1787900460.641757,34680,03bd,12,EF 7B 13 43 EF 16 CF 41 00 00 96 42
1787900460.643158,34680,03be,12,73 CF 14 43 D4 91 B6 41 00 00 98 42
1787900460.644526,34680,03bf,12,20 A6 15 43 83 B7 A6 41 00 00 9A 42
1787900460.645818,34680,03c0,12,CB FD 15 43 62 2A A0 41 00 00 9C 42
1787900460.648637,34680,03c1,12,97 D5 15 43 E9 2C A3 41 00 00 9E 42
1787900460.650057,34680,03c2,12,EC 2D 15 43 60 A0 AF 41 00 00 A0 42
1787900460.651464,34680,03c3,12,77 08 14 43 B5 05 C5 41 00 00 A2 42
1787900460.652792,34680,03c4,12,1D 68 12 43 32 83 E2 41 00 00 A4 42
1787900460.654103,34680,03c5,12,16 51 10 43 5E 75 03 42 00 00 A6 42
1787900460.655645,34680,03c6,12,B6 C8 0D 43 A4 64 18 42 00 00 A8 42
1787900460.657051,34680,03c7,12,76 D5 0A 43 C6 39 2F 42 00 00 AA 42
1787900460.658476,34680,03c8,12,E1 7E 07 43 BE 0B 47 42 00 00 AC 42
1787900460.659757,34680,03c9,12,6F CD 03 43 E8 E7 5E 42 00 00 AE 42
1787900460.661098,34680,03ca,12,6C 95 FF 42 D6 D9 75 42 00 00 B0 42
1787900460.662522,34680,03cb,12,CE 01 F7 42 EA 7B 85 42 00 00 B2 42
1787900460.663797,34680,03cc,12,F5 F5 ED 42 30 B5 8E 42 00 00 B4 42
1787900460.665119,34680,03cd,12,04 89 E4 42 99 3A 96 42 00 00 B6 42
1787900460.666482,34680,03ce,12,E4 D2 DA 42 7C BF 9B 42 00 00 B8 42
1787900460.667755,34680,03cf,12,CF EC D0 42 4C 0B 9F 42 00 00 BA 42
1787900460.669058,34680,03d0,12,E5 EF C6 42 88 FC 9F 42 00 00 BC 42
1787900460.670474,34680,03d1,12,B4 F5 BC 42 90 89 9E 42 00 00 BE 42
1787900460.671800,34680,03d2,12,C0 17 B3 42 31 C1 9A 42 00 00 C0 42
1787900460.673091,34680,03d3,12,16 6F A9 42 E0 C9 94 42 00 00 C2 42
1787900460.674459,34680,03d4,12,CB 14 A0 42 BE E0 8C 42 00 00 C4 42
1787900460.675759,34680,03d5,12,9B 20 97 42 6C 56 83 42 00 00 C6 42
1787900460.677194,34680,03d6,12,6D A9 8E 42 92 18 71 42 00 00 C8 42
1787900460.678526,34680,03d7,12,E7 C4 86 42 E3 E0 59 42 00 00 CA 42
1787900460.679828,34680,03d8,12,2F 0E 7F 42 46 F2 41 42 00 00 CC 42
1787900460.682222,34680,03d9,12,99 05 72 42 E7 41 2A 42 00 00 CE 42
1787900460.683646,34680,03da,12,15 91 66 42 13 C1 13 42 00 00 D0 42
1787900460.685097,34680,03db,12,F2 CD 5C 42 E5 AA FE 41 00 00 D2 42
1787900460.686531,34680,03dc,12,26 D5 54 42 D7 9E DB 41 00 00 D4 42
1787900460.687829,34680,03dd,12,FE BA 4E 42 34 C3 BF 41 00 00 D6 42
1787900460.689259,34680,03de,12,50 8F 4A 42 60 35 AC 41 00 00 D8 42
1787900460.690655,34680,03df,12,A5 5C 48 42 4C BC A1 41 00 00 DA 42
1787900460.691947,34680,03e0,12,9C 28 48 42 DA C2 A0 41 00 00 DC 42
1787900460.693488,34680,03e1,12,BA F3 49 42 FB 52 A9 41 00 00 DE 42
1787900460.695305,34680,03e2,12,80 B9 4D 42 BA 15 BB 41 00 00 E0 42
1787900460.696726,34680,03e3,12,22 70 53 42 25 55 D5 41 00 00 E2 42
1787900460.698153,34680,03e4,12,12 09 5B 42 9D 05 F7 41 00 00 E4 42
1787900460.699590,34680,03e5,12,E1 70 64 42 A8 67 0F 42 00 00 E6 42
1787900460.700862,34680,03e6,12,7F 8F 6F 42 19 8E 25 42 00 00 E8 42
1787900460.702279,34680,03e7,12,BF 48 7C 42 88 14 3D 42 00 00 EA 42
1787900460.703709,34680,03e8,12,CC 3D 85 42 F6 09 55 42 00 00 EC 42
1787900460.705146,34680,03e9,12,F9 01 8D 42 53 7A 6C 42 00 00 EE 42
1787900460.706469,34680,03ea,12,0A 5D 95 42 34 3B 81 42 00 00 A0 41
1787900460.707790,34680,03eb,12,A0 39 9E 42 EC 0E 8B 42 00 00 A8 41
1787900460.709111,34680,03ec,12,3E 81 A7 42 2C 54 93 42 00 00 B0 41
1787900460.710472,34680,03ed,12,CE 1B B1 42 39 B6 99 42 00 00 B8 41
