ts,event,session,payload_len,payload_hex
1787901873.569849,34680,0010,12,C2 45 15 43 DD DD AD 41 00 00 08 42
1787901873.575714,34680,0011,12,F0 DF 15 43 DC 66 A2 41 00 00 0C 42
1787901873.626135,34680,0012,12,8B FA 15 43 C5 68 A0 41 00 00 10 42
1787901873.683666,34680,0013,12,4F 95 15 43 EB F7 A7 41 00 00 14 42
1787901873.734591,34680,0014,12,40 B1 14 43 2A C7 B8 41 00 00 18 42
1787901873.785269,34680,0015,12,A4 50 13 43 F1 2A D2 41 00 00 1C 42
1787901873.836195,34680,0016,12,02 77 11 43 23 20 F3 41 00 00 20 42
1787901873.887013,34680,0017,12,14 29 0F 43 32 2B 0D 42 00 00 24 42
1787901874.187675,34680,0018,12,C1 6C 0C 43 BD 1E 23 42 00 00 28 42
1787901874.238563,34680,0019,12,07 49 09 43 AC 8A 3A 42 00 00 2C 42
1787901874.289153,34680,001a,12,EE C5 05 43 FA 7F 52 42 00 00 30 42
1787901874.340928,34680,001b,12,72 EC 01 43 1A 0A 6A 42 00 00 34 42
1787901874.391628,34680,001c,12,D5 8C FB 42 6C 1C 80 42 00 00 38 42
1787901874.442390,34680,001d,12,EC BC F2 42 E2 14 8A 42 00 00 3C 42
1787901874.493184,34680,001e,12,B3 7F E9 42 B1 88 92 42 00 00 40 42
1787901874.802746,34680,001f,12,C8 EC DF 42 95 21 99 42 00 00 44 42
1787901874.853464,34680,0020,12,AC 1C D6 42 37 9C 9D 42 00 00 48 42
1787901874.904164,34680,0021,12,76 28 CC 42 E3 CA 9F 42 00 00 4C 42
1787901874.955013,34680,0022,12,9F 29 C2 42 52 97 9F 42 00 00 50 42
1787901875.005665,34680,0023,12,B6 39 B8 42 93 03 9D 42 00 00 54 42
1787901875.056255,34680,0024,12,25 72 AE 42 F2 29 98 42 00 00 58 42
1787901875.106989,34680,0025,12,F3 EB A4 42 F0 3B 91 42 00 00 5C 42
1787901875.407650,34680,0026,12,79 BF 9B 42 46 80 88 42 00 00 60 42
1787901875.458659,34680,0027,12,32 04 93 42 2C A0 7C 42 00 00 64 42
