ts,event,session,payload_len,payload_hex
1788592982.986299,34680,008c,12,00 80 08 43 00 00 91 42 CD 0C E9 42
1788592982.995271,34680,008d,12,00 00 D5 42 48 E1 68 42 25 06 C4 42
1788592983.005974,34680,008e,12,66 66 10 43 66 66 9C 42 DF CF 31 42
1788592983.016692,34680,008f,12,00 80 0B 43 3E 0A DB 41 8A C1 CA 42
1788592983.027928,34680,0090,12,00 00 D3 42 C2 F5 C4 41 4C F7 B5 42
1788592983.038799,34680,0091,12,00 00 03 43 33 33 13 42 62 90 36 42
1788592983.049321,34680,0092,12,33 33 5B 42 5C 8F 04 42 C0 4A 02 42
1788592983.060110,34680,0093,12,66 66 4C 42 C2 F5 C4 41 3E 0A 2F 42
1788592983.071294,34680,0094,12,CC 4C 15 43 85 EB 79 42 BE 9F 30 42
1788592983.081877,34680,0095,12,66 66 14 43 9A 99 39 42 29 5C 72 42
1788592983.092517,34680,0096,12,9A 99 9D 42 D7 A3 A8 41 3B 1F CE 42
1788592983.103102,34680,0097,12,CD CC A8 42 0A D7 AF 41 B2 1D 4F 42
1788592983.113752,34680,0098,12,00 00 FE 42 00 00 AC 41 F2 D2 1C 42
1788592983.124651,34680,0099,12,9A 99 BC 42 29 5C 82 42 21 B0 65 42
1788592983.135112,34680,009a,12,33 33 F3 42 29 5C 1B 42 A0 9A 8A 42
1788592983.145710,34680,009b,12,CD CC 98 42 CD CC E0 41 0E AD D2 42
1788592983.156159,34680,009c,12,CC CC CD 42 E1 7A 06 42 BC 74 2D 42
1788592983.166617,34680,009d,12,66 66 DF 42 7B 14 98 42 21 B0 BD 42
1788592983.177098,34680,009e,12,66 66 BD 42 00 00 9D 42 0C 02 B3 41
1788592983.187706,34680,009f,12,33 33 A2 42 70 3D D6 41 C2 F5 36 42
1788592983.198223,34680,00a0,12,CD CC F1 42 7B 14 8F 42 95 43 AC 42
1788592983.208842,34680,00a1,12,33 33 A2 42 48 E1 D2 41 A6 DB AC 42
1788592983.219404,34680,00a2,12,00 00 A7 42 CD CC 10 42 00 C0 A3 42
1788592983.229864,34680,00a3,12,CD CC AA 42 A4 70 95 42 8F 42 D4 42
1788592983.240330,34680,00a4,12,00 00 B8 42 52 B8 A6 41 CD 4C D0 42
1788592983.250661,34680,00a5,12,66 66 10 43 33 33 73 42 1F C5 A1 42
1788592983.261060,34680,00a6,12,9A 99 83 42 33 33 43 42 B0 72 7D 42
1788592983.271695,34680,00a7,12,66 66 DA 42 F6 28 D8 41 7D BF B7 42
1788592983.282249,34680,00a8,12,99 99 DF 42 71 3D 6C 42 C5 20 3A 42
1788592983.292861,34680,00a9,12,00 00 B0 42 5C 8F 89 42 F2 12 BF 42
1788592983.303531,34680,00aa,12,00 00 9F 42 A4 70 37 42 31 08 D7 42
1788592983.313879,34680,00ab,12,34 33 04 43 14 AE 13 42 FE 54 B9 42
1788592983.324471,34680,00ac,12,00 00 13 43 E2 7A 5A 42 25 06 09 42
1788592983.335203,34680,00ad,12,9A 99 92 42 1F 85 4D 42 76 FE C6 42
1788592983.345854,34680,00ae,12,33 33 10 43 A4 70 4F 42 25 06 6C 42
1788592983.356427,34680,00af,12,33 33 AE 42 B8 1E D9 41 2D B2 D0 42
1788592983.367013,34680,00b0,12,9A 99 B7 42 B8 1E 4B 42 E8 FB C7 42
1788592983.377959,34680,00b1,12,CD 4C 0B 43 9A 99 0F 42 7F 6A 31 42
1788592983.388677,34680,00b2,12,33 33 90 42 00 00 94 42 8C 6C 44 42
1788592983.399300,34680,00b3,12,CD CC 74 42 48 E1 8D 42 EF A7 7C 42
1788592983.409888,34680,00b4,12,66 66 A4 42 14 AE 0D 42 3B 5F 5D 42
1788592983.420396,34680,00b5,12,00 00 C8 42 F6 28 5C 42 29 1C E3 42
1788592983.430949,34680,00b6,12,33 33 0D 43 0A D7 2D 42 3E 8A B8 42
1788592983.441444,34680,00b7,12,9A 99 CF 42 E1 7A E8 41 76 FE C6 42
1788592983.451953,34680,00b8,12,33 33 C5 42 5C 8F 89 42 08 2C C9 42
1788592983.462662,34680,00b9,12,9A 19 08 43 5C 8F FE 41 B0 72 D5 42
1788592983.473756,34680,00ba,12,00 00 F6 42 7B 14 70 42 D9 8E CA 42
1788592983.504987,34680,00bb,12,33 33 C6 42 EC 51 89 42 3B DF E6 42
1788592983.515917,34680,00bc,12,00 00 DE 42 8F C2 A5 41 8C EC 12 42
1788592983.526505,34680,00bd,12,33 33 C5 42 CC CC 8C 42 FE 54 61 42
1788592983.537509,34680,00be,12,34 33 05 43 33 33 79 42 E4 65 DA 42
1788592983.548015,34680,00bf,12,CD CC 9C 42 34 33 95 42 37 49 96 42
1788592983.558504,34680,00c0,12,9A 99 67 42 3E 0A 90 42 4E 62 A0 42
1788592983.569043,34680,00c1,12,66 66 B8 42 14 AE 19 42 D5 F8 21 42
1788592983.579695,34680,00c2,12,66 E6 11 43 48 E1 2C 42 68 51 E2 42
1788592983.591515,34680,00c3,12,00 00 98 42 5C 8F 46 42 79 E9 27 42
1788592983.602130,34680,00c4,12,66 66 0B 43 5C 8F 22 42 F0 27 A3 42
1788592983.612640,34680,00c5,12,9A 19 08 43 90 C2 9C 42 F4 FD 1F 42
1788592983.623095,34680,00c6,12,9A 99 8B 42 AE 47 47 42 EE 3C 87 42
1788592983.633715,34680,00c7,12,66 66 E7 42 0A D7 F7 41 AA B1 81 42
1788592983.644253,34680,00c8,12,67 66 FF 42 48 E1 A2 41 3B 5F 5D 42
1788592983.654805,34680,00c9,12,66 66 E3 42 86 EB 9B 42 48 21 E1 42
1788592983.665289,34680,00ca,12,CC CC A6 42 90 C2 8A 42 EC 51 E3 41
1788592983.676080,34680,00cb,12,33 33 FB 42 00 00 DC 41 68 91 71 42
1788592983.686532,34680,00cc,12,9A 99 BD 42 14 AE A7 41 5A E4 E4 42
1788592983.697074,34680,00cd,12,00 00 7A 42 70 3D 8E 42 F2 D2 1C 42
1788592983.707680,34680,00ce,12,33 33 91 42 C3 F5 12 42 EE FC 9F 42
1788592983.718268,34680,00cf,12,66 66 C7 42 48 E1 14 42 4C 77 84 42
1788592983.728790,34680,00d0,12,66 66 5E 42 F6 28 81 42 FC E9 CE 42
1788592983.739302,34680,00d1,12,CD CC C3 42 71 3D 00 42 00 80 BC 42
1788592983.751590,34680,00d2,12,00 00 AF 42 14 AE 95 42 73 E8 4F 42
1788592983.762076,34680,00d3,12,CD CC 7A 42 CD CC 04 42 2D 32 47 42
1788592983.772590,34680,00d4,12,CC CC BF 42 5C 8F 95 42 1A 6F 9B 42
1788592983.783147,34680,00d5,12,CD CC DF 42 CD CC 04 42 20 30 8C 42
1788592983.793667,34680,00d6,12,67 66 FE 42 14 AE 19 42 90 C2 A2 42
1788592983.804470,34680,00d7,12,9A 99 C2 42 33 33 49 42 A2 45 D4 41
1788592983.815112,34680,00d8,12,9A 99 9C 42 B8 1E 27 42 70 3D 1B 42
1788592983.825481,34680,00d9,12,00 00 7A 42 7B 14 80 42 92 ED BA 41
1788592983.835856,34680,00da,12,66 66 5C 42 29 5C 0F 42 9E AF D1 42
1788592983.846254,34680,00db,12,00 00 4E 42 14 AE FB 41 D5 F8 DC 42
1788592983.858234,34680,00dc,12,CD CC E4 42 A4 70 55 42 3A 34 B2 42
1788592983.868843,34680,00dd,12,9A 99 55 42 0A D7 33 42 E3 A5 D6 41
1788592983.879295,34680,00de,12,33 33 6F 42 EC 51 F8 41 D2 22 4D 42
1788592983.890799,34680,00df,12,66 66 01 43 85 EB 1F 42 6C A7 85 42
1788592983.901264,34680,00e0,12,9A 99 97 42 AE 47 8A 42 46 B6 A8 41
1788592983.911814,34680,00e1,12,CD CC A2 42 AE 47 2F 42 1A AF 2A 42
1788592983.922378,34680,00e2,12,CD CC 54 42 C3 F5 72 42 C2 35 D9 42
1788592983.932890,34680,00e3,12,66 66 02 43 48 E1 38 42 23 DB 68 42
1788592983.944391,34680,00e4,12,00 00 E5 42 00 00 78 42 4C 77 84 42
1788592983.954852,34680,00e5,12,00 00 01 43 99 99 69 42 D9 8E CA 42
1788592983.965569,34680,00e6,12,CD CC 85 42 CD CC F8 41 F4 7D 51 42
1788592983.975914,34680,00e7,12,66 66 EA 42 00 00 9D 42 91 ED A5 42
1788592983.986441,34680,00e8,12,9A 99 4B 42 33 33 49 42 00 80 64 42
1788592983.996902,34680,00e9,12,9A 99 79 42 52 B8 82 42 AC 1C CF 42
1788592984.007288,34680,00ea,12,00 00 F9 42 EC 51 9E 42 10 58 B9 41
1788592984.017737,34680,00eb,12,00 00 68 42 C2 F5 2A 42 AC 1C 77 42
1788592984.030320,34680,00ec,12,66 66 AC 42 52 B8 1E 42 BC 74 FD 41
1788592984.040680,34680,00ed,12,66 66 9A 42 71 3D 54 42 4C 37 9D 42
1788592984.054867,34680,00ee,12,CC CC 07 43 A4 70 3D 42 52 38 1D 42
1788592984.065861,34680,00ef,12,00 00 00 43 29 5C EB 41 4C B7 76 42
1788592984.076357,34680,00f0,12,33 33 0D 43 29 5C 27 42 CB 61 B4 42
1788592984.086832,34680,00f1,12,33 33 6F 42 1F 85 7D 42 A6 9B 0A 42
1788592984.097441,34680,00f2,12,34 33 0A 43 0A D7 69 42 FC 29 B6 42
1788592984.107872,34680,00f3,12,66 E6 00 43 48 E1 02 42 CF B7 BA 42
1788592984.118496,34680,00f4,12,9A 19 0D 43 33 33 25 42 D5 F8 21 42
1788592984.128951,34680,00f5,12,00 00 93 42 C2 F5 8B 42 46 36 C5 42
1788592984.139490,34680,00f6,12,9A 99 C5 42 7B 14 34 42 C9 76 AD 41
1788592984.150077,34680,00f7,12,9A 99 84 42 B8 1E 88 42 F2 D2 7F 42
1788592984.160861,34680,00f8,12,00 00 01 43 00 00 A0 41 1C 5A B7 42
1788592984.171368,34680,00f9,12,CD CC 12 43 A4 70 92 42 C6 8B DF 42
1788592984.181867,34680,00fa,12,CD CC 78 42 B8 1E 6F 42 6B BC 74 42
1788592984.192349,34680,00fb,12,9A 99 5B 42 D7 A3 F0 41 6F 92 A1 42
1788592984.202882,34680,00fc,12,9A 99 A5 42 14 AE 61 42 0C 02 9E 42
1788592984.213425,34680,00fd,12,34 33 CE 42 B8 1E 4B 42 67 26 DF 42
1788592984.223854,34680,00fe,12,00 00 64 42 00 00 4E 42 7F EA 62 42
1788592984.234523,34680,00ff,12,CD CC E7 42 F6 28 9C 42 BA 49 FA 41
1788592984.245545,34680,0100,12,66 E6 15 43 1F 85 C3 41 E5 D0 D9 41
1788592984.258213,34680,0101,12,33 33 A0 42 85 EB 8F 42 16 59 24 42
1788592984.268716,34680,0102,12,66 66 7E 42 15 AE 5B 42 A8 06 B0 42
1788592984.279294,34680,0103,12,33 33 BF 42 9A 99 C1 41 75 D3 C3 42
1788592984.289804,34680,0104,12,9A 19 04 43 86 EB 9B 42 D7 63 C7 42
1788592984.300374,34680,0105,12,00 00 86 42 1F 85 7D 42 DF 4F 00 42
1788592984.310940,34680,0106,12,66 66 C5 42 34 33 8F 42 C5 A0 6B 42
1788592984.321517,34680,0107,12,34 B3 04 43 D7 A3 6E 42 9A 19 81 42
1788592984.332456,34680,0108,12,34 33 B0 42 48 E1 93 42 83 C0 37 42
1788592984.343092,34680,0109,12,66 66 70 42 F6 28 56 42 D1 E2 BD 42
1788592984.353604,34680,010a,12,00 80 05 43 48 E1 8A 42 64 3B 08 42
1788592984.364158,34680,010b,12,33 33 71 42 00 00 12 42 18 C4 C9 42
1788592984.374620,34680,010c,12,66 66 84 42 71 3D 7E 42 FE 54 61 42
1788592984.385028,34680,010d,12,9A 99 5F 42 33 33 55 42 16 D9 C2 41
1788592984.398289,34680,010e,12,CD CC B4 42 C2 F5 94 42 37 89 E0 42
1788592984.409847,34680,010f,12,66 E6 00 43 14 AE 83 42 3B 5F 5D 42
1788592984.420358,34680,0110,12,CD CC E0 42 3D 0A F3 41 3E 0A 87 42
1788592984.430936,34680,0111,12,CD 4C 0A 43 E2 7A 78 42 8F 42 7C 42
1788592984.441426,34680,0112,12,67 66 F1 42 AE 47 ED 41 50 0D 1A 42
1788592984.451884,34680,0113,12,00 00 A8 42 AE 47 77 42 3E 8A 60 42
1788592984.462634,34680,0114,12,CC CC F4 42 5C 8F 22 42 CF 77 18 42
1788592984.473401,34680,0115,12,00 00 B9 42 EC 51 E0 41 D7 A3 C3 41
1788592984.483891,34680,0116,12,CD CC 50 42 A3 70 5B 42 5E 3A 30 42
1788592984.494481,34680,0117,12,00 80 10 43 29 5C 91 42 F4 7D A9 42
1788592984.504891,34680,0118,12,CD CC 99 42 3E 0A 11 42 AA F1 73 42
1788592984.515595,34680,0119,12,66 66 10 43 52 B8 42 42 E8 BB E0 42
1788592984.526147,34680,011a,12,9A 99 05 43 D7 A3 26 42 1F 05 31 42
1788592984.536662,34680,011b,12,00 00 C1 42 C2 F5 82 42 2D B2 D0 42
1788592984.547283,34680,011c,12,00 00 EA 42 A4 70 55 42 B8 9E B0 42
1788592984.557984,34680,011d,12,99 99 D2 42 E2 7A D0 41 CF 37 EC 42
1788592984.568534,34680,011e,12,33 B3 00 43 14 AE 25 42 FC A9 FC 41
1788592984.583626,34680,011f,12,00 00 B1 42 0A D7 3F 42 6B BC 74 42
1788592984.594301,34680,0120,12,CD CC 9F 42 AE 47 96 42 83 C0 37 42
1788592984.604632,34680,0121,12,00 80 01 43 A4 70 3D 42 DD 24 CD 41
1788592984.615501,34680,0122,12,CC CC CE 42 48 E1 1A 42 FC 69 9D 42
1788592984.626635,34680,0123,12,CD 4C 12 43 CD CC C8 41 B6 F3 F3 41
1788592984.637059,34680,0124,12,00 00 F9 42 66 66 4A 42 1C 1A D0 42
1788592984.654513,34680,0125,12,CC CC 13 43 C2 F5 18 42 AC DC E7 42
1788592984.684345,34680,0126,12,66 66 54 42 F6 28 4A 42 27 31 0C 42
1788592984.694590,34680,0127,12,33 33 B2 42 33 33 4F 42 87 56 E0 42
1788592984.705157,34680,0128,12,66 E6 15 43 00 00 E8 41 73 28 8F 42
1788592984.718404,34680,0129,12,33 33 D4 42 52 B8 54 42 E8 FB DC 41
1788592984.729269,34680,012a,12,00 00 BF 42 AE 47 35 42 F6 E8 93 42
1788592984.739664,34680,012b,12,CD CC F0 42 66 66 90 42 EB 51 CE 42
1788592984.750104,34680,012c,12,CD CC 60 42 48 E1 38 42 33 73 C1 42
1788592984.760580,34680,012d,12,CD CC FC 42 5C 8F 58 42 8D D7 E9 42
1788592984.771058,34680,012e,12,33 33 73 42 33 33 B3 41 0C 42 E8 42
1788592984.781499,34680,012f,12,33 33 6B 42 99 99 7B 42 87 D6 AE 42
1788592984.791980,34680,0130,12,9A 99 81 42 E1 7A 42 42 EC 51 E3 41
1788592984.802936,34680,0131,12,66 66 DD 42 D7 A3 56 42 BA 49 82 42
1788592984.813720,34680,0132,12,CD CC FB 42 3E 0A 87 42 6E 12 18 42
1788592984.824256,34680,0133,12,9A 19 08 43 EC 51 34 42 3B 5F B5 42
1788592984.834831,34680,0134,12,66 66 BF 42 66 66 9C 42 B7 33 C6 42
1788592984.845348,34680,0135,12,00 00 EB 42 29 5C 7B 42 8D 97 47 42
1788592984.855975,34680,0136,12,33 33 09 43 14 AE 2B 42 92 ED BA 41
1788592984.866634,34680,0137,12,33 33 CB 42 67 66 6E 42 D2 22 4D 42
1788592984.877200,34680,0138,12,CC 4C 13 43 52 B8 88 42 A6 5B DE 42
1788592984.887717,34680,0139,12,CD CC C4 42 5C 8F 22 42 A0 9A 8A 42
1788592984.898277,34680,013a,12,00 00 C4 42 71 3D 7E 42 73 E8 A7 42
1788592984.908859,34680,013b,12,33 B3 14 43 67 66 62 42 2D F2 B7 42
1788592984.920176,34680,013c,12,9A 99 73 42 7B 14 CE 41 C6 CB 0B 42
1788592984.930804,34680,013d,12,66 66 4E 42 8F C2 A5 41 1C 5A 5F 42
1788592984.941591,34680,013e,12,00 00 DB 42 7B 14 80 42 4A 8C 10 42
1788592984.952191,34680,013f,12,66 66 BF 42 1E 85 23 42 7F 2A A2 42
1788592984.969746,34680,0140,12,66 66 A4 42 70 3D 94 42 60 E5 64 42
1788592984.980725,34680,0141,12,9A 99 49 42 F6 28 9C 42 5E FA A0 42
1788592984.991168,34680,0142,12,00 80 01 43 90 C2 23 42 AA 31 B3 42
1788592985.001687,34680,0143,12,67 66 FC 42 E2 7A 4E 42 6C E7 E4 41
1788592985.012871,34680,0144,12,66 66 7E 42 3E 0A B7 41 3A B4 80 42
1788592985.023456,34680,0145,12,CC CC A6 42 0A D7 85 42 27 B1 3D 42
1788592985.033844,34680,0146,12,33 33 13 43 3E 0A 9C 42 79 E9 E2 42
1788592985.044406,34680,0147,12,00 00 A3 42 1F 85 96 42 A4 70 D7 41
1788592985.054818,34680,0148,12,00 00 06 43 66 66 38 42 3B 5F B5 42
1788592985.065232,34680,0149,12,9A 99 4F 42 3D 0A F3 41 D5 38 C4 42
1788592985.075639,34680,014a,12,66 66 D0 42 EC 51 95 42 2B 87 CD 42
1788592985.086116,34680,014b,12,00 00 8F 42 48 E1 8A 42 E1 FA 8C 42
1788592985.096865,34680,014c,12,9A 99 8A 42 7A 14 76 42 06 81 94 42
1788592985.107354,34680,014d,12,00 80 11 43 14 AE 95 42 DF 4F BB 42
1788592985.118702,34680,014e,12,66 66 95 42 0A D7 03 42 0E ED B9 42
1788592985.129239,34680,014f,12,66 66 D3 42 85 EB 13 42 3A B4 E3 42
1788592985.139709,34680,0150,12,9A 99 96 42 00 00 7E 42 0C 82 77 42
1788592985.150225,34680,0151,12,33 33 AC 42 B8 1E FD 41 12 83 BC 41
1788592985.160987,34680,0152,12,CD CC 9F 42 CD CC 22 42 A3 B0 A9 42
1788592985.172099,34680,0153,12,00 00 DC 42 00 00 0C 42 5A E4 E4 42
1788592985.182506,34680,0154,12,CD CC D5 42 0A D7 8E 42 7F EA 62 42
1788592985.192909,34680,0155,12,99 99 D2 42 A4 70 AD 41 CD CC 9E 42
1788592985.203447,34680,0156,12,CD CC BE 42 A4 70 31 42 27 31 DC 41
1788592985.213983,34680,0157,12,00 00 91 42 48 E1 62 42 91 6D D7 42
1788592985.224458,34680,0158,12,9A 99 90 42 D7 A3 E4 41 B6 B3 94 42
1788592985.234904,34680,0159,12,CD CC B0 42 48 E1 26 42 06 01 C6 42
1788592985.245311,34680,015a,12,33 33 06 43 0A D7 AF 41 83 00 DA 42
1788592985.260006,34680,015b,12,00 00 E7 42 1E 85 29 42 E4 E5 A8 42
1788592985.270551,34680,015c,12,66 66 CE 42 66 66 87 42 9C 44 84 42
1788592985.281033,34680,015d,12,9A 99 03 43 52 B8 30 42 48 E1 96 42
1788592985.291729,34680,015e,12,66 66 B9 42 48 E1 8A 42 DD 24 B8 42
1788592985.302260,34680,015f,12,00 00 A5 42 A4 70 67 42 94 58 90 42
1788592985.312840,34680,0160,12,00 00 4C 42 AE 47 2F 42 66 E6 3C 42
1788592985.323345,34680,0161,12,CD CC 56 42 85 EB 3D 42 8B AC E6 42
1788592985.333869,34680,0162,12,CC CC B8 42 33 33 92 42 18 04 B1 42
1788592985.344418,34680,0163,12,67 66 D6 42 34 33 1F 42 E9 E6 E3 42
1788592985.354899,34680,0164,12,CD CC F1 42 AE 47 0B 42 27 31 6F 42
1788592985.385871,34680,0165,12,9A 19 0D 43 86 EB 25 42 A0 5A A3 42
1788592985.403784,34680,0166,12,33 33 E1 42 E1 7A 1E 42 83 40 C1 42
1788592985.414413,34680,0167,12,00 00 81 42 14 AE BF 41 6C 67 9E 42
1788592985.425222,34680,0168,12,99 99 E8 42 7B 14 89 42 46 F6 DD 42
1788592985.435652,34680,0169,12,34 33 F2 42 F6 28 14 42 C2 75 C0 42
1788592985.446195,34680,016a,12,33 33 D5 42 86 EB 9B 42 EE 7C D1 42
1788592985.456726,34680,016b,12,33 33 C9 42 D7 A3 20 42 4E 62 B5 41
1788592985.467414,34680,016c,12,34 33 0A 43 0A D7 09 42 EB 91 B5 42
1788592985.477707,34680,016d,12,66 66 DA 42 52 B8 97 42 8B AC E6 42
1788592985.488221,34680,016e,12,00 00 A9 42 C3 F5 12 42 D9 CE B1 42
1788592985.498779,34680,016f,12,00 80 04 43 1F 85 FF 41 72 68 EE 41
1788592985.509391,34680,0170,12,00 00 D8 42 C2 F5 24 42 3B 9F 9C 42
1788592985.519732,34680,0171,12,CC 4C 13 43 70 3D 48 42 DC 79 2B 42
1788592985.530933,34680,0172,12,66 66 F4 42 D7 A3 56 42 79 E9 27 42
1788592985.541513,34680,0173,12,66 66 A3 42 F6 28 C0 41 B0 F2 4B 42
1788592985.555836,34680,0174,12,00 00 00 43 8F C2 C9 41 9E EF B8 42
1788592985.566265,34680,0175,12,00 00 83 42 29 5C BB 41 A3 30 DB 42
1788592985.576665,34680,0176,12,9A 99 A6 42 29 5C 51 42 71 3D D6 42
1788592985.587163,34680,0177,12,34 33 CE 42 29 5C 63 42 2D B2 78 42
1788592985.597462,34680,0178,12,00 00 7C 42 CD CC 70 42 C6 8B DF 42
1788592985.607895,34680,0179,12,33 33 07 43 C3 F5 97 42 AA 31 B3 42
1788592985.618397,34680,017a,12,66 66 E3 42 EC 51 E0 41 CF F7 49 42
1788592985.628968,34680,017b,12,9A 99 C4 42 AE 47 7D 42 94 18 51 42
