ts,event,payload_len,payload_hex
1788593103.521096,34680,12,00 00 EE 42 A4 70 2B 42 48 A1 AF 42
1788593103.531493,34680,12,99 99 D2 42 F6 28 14 42 0E ED B9 42
1788593103.542310,34680,12,00 00 F2 42 0A D7 EB 41 4C B7 76 42
1788593103.552639,34680,12,00 00 96 42 7B 14 AA 41 E1 7A D3 41
1788593103.563102,34680,12,34 33 A5 42 66 66 2C 42 64 BB 39 42
1788593103.573677,34680,12,33 33 85 42 B8 1E 4B 42 5A E4 29 42
1788593103.584855,34680,12,CD CC 93 42 5C 8F 46 42 52 B8 A6 42
1788593103.595443,34680,12,CD CC 78 42 E1 7A A0 41 42 60 A2 41
1788593103.605833,34680,12,CD CC C1 42 70 3D 06 42 FE D4 FF 41
1788593103.616190,34680,12,CC CC DA 42 48 E1 6E 42 1C 9A 9E 42
1788593103.626548,34680,12,00 00 D3 42 14 AE 61 42 0C 82 77 42
1788593103.637041,34680,12,33 33 F8 42 29 5C AF 41 D7 23 25 42
1788593103.648013,34680,12,34 B3 0A 43 00 00 7E 42 23 9B D9 42
1788593103.658340,34680,12,33 33 79 42 5C 8F 4C 42 CA A1 43 42
1788593103.668673,34680,12,CD CC 02 43 7B 14 9B 42 8F 42 7C 42
1788593103.679269,34680,12,CD CC 84 42 1E 85 53 42 CD 8C B7 42
1788593103.692141,34680,12,00 00 8F 42 D7 A3 8D 42 EE BC B8 42
1788593103.702678,34680,12,9A 99 06 43 5C 8F E6 41 1F 45 D3 42
1788593103.713763,34680,12,9A 99 BC 42 29 5C 5D 42 CB 21 CD 42
1788593103.725947,34680,12,66 66 70 42 66 66 EA 41 00 00 A0 41
1788593103.737508,34680,12,33 33 F8 42 52 B8 5A 42 06 81 A9 41
1788593103.747952,34680,12,CD CC E9 42 D7 A3 81 42 40 B5 00 42
1788593103.758408,34680,12,00 00 C8 42 99 99 5D 42 E4 E5 A8 42
1788593103.768718,34680,12,CD CC A0 42 A4 70 7F 42 70 BD A4 42
1788593103.780035,34680,12,CD CC C8 42 7B 14 9E 42 8A 81 E3 42
1788593103.790383,34680,12,00 00 85 42 F6 28 08 42 90 C2 A2 42
1788593103.800732,34680,12,34 33 BD 42 CD CC BC 41 C6 4B 95 42
1788593103.811248,34680,12,CD CC 11 43 D7 A3 26 42 08 AC 3F 42
1788593103.821625,34680,12,00 00 4C 42 EC 51 9E 42 08 6C B0 42
