ts,event,payload_len,payload_hex
1788592615.233524,34680,12,00 00 96 43 FC 14 9C 42 A2 9B 90 41
1788592615.243922,34680,12,67 BC 99 43 87 80 9F 42 5D 06 9F 41
1788592615.254286,34680,12,54 63 9D 43 2D 3B 9A 42 C6 AE B3 41
1788592615.264623,34680,12,C8 DF A0 43 35 3C 96 42 10 EF C2 41
1788592615.275046,34680,12,B6 1D A4 43 E6 10 91 42 35 C9 C6 41
1788592615.285712,34680,12,7D 0A A7 43 90 90 81 42 96 7B B0 41
1788592615.296255,34680,12,4B 95 A9 43 C3 B4 7D 42 40 7C CC 41
1788592615.306726,34680,12,82 AF AB 43 02 B8 5C 42 5E BA CA 41
1788592615.317305,34680,12,0D 4D AD 43 DB 87 4F 42 19 C6 E2 41
1788592615.327852,34680,12,A1 64 AE 43 2A E0 21 42 33 D7 00 42
1788592615.338462,34680,12,F8 EF AE 43 F2 B3 17 42 53 AA 02 42
1788592615.349136,34680,12,F0 EB AE 43 4C 6D F9 41 DA 53 F2 41
1788592615.359619,34680,12,A0 58 AE 43 74 FB D6 41 65 12 F7 41
1788592615.370140,34680,12,58 39 AD 43 D1 71 D2 41 D8 66 E5 41
1788592615.380561,34680,12,8A 94 AB 43 D5 B6 A3 41 37 FD FA 41
1788592615.391051,34680,12,AB 73 A9 43 BA AD 9A 41 AE 0A 0D 42
1788592615.401546,34680,12,F7 E2 A6 43 06 2B 89 41 60 27 13 42
1788592615.412000,34680,12,2D F1 A3 43 9C CB 9F 41 AD 25 14 42
1788592615.422632,34680,12,3B AF A0 43 36 02 BA 41 8D DF 21 42
1788592615.433062,34680,12,DC 2F 9D 43 35 92 C4 41 94 88 1C 42
1788592615.443815,34680,12,2B 87 99 43 2B C3 F4 41 29 C5 20 42
1788592615.454344,34680,12,31 CA 95 43 35 F9 0D 42 97 9C 1B 42
1788592615.464819,34680,12,6D 0E 92 43 97 56 1D 42 60 CB 1B 42
1788592615.475386,34680,12,56 69 8E 43 10 ED 3F 42 72 CB 12 42
1788592615.485936,34680,12,DE EF 8A 43 D2 70 48 42 72 69 35 42
1788592615.496538,34680,12,02 B6 87 43 03 49 72 42 74 1B 35 42
1788592615.507045,34680,12,4C CE 84 43 6D 16 78 42 C6 A5 32 42
1788592615.517557,34680,12,70 49 82 43 D4 6D 85 42 FD 8A 44 42
1788592615.528034,34680,12,EA 35 80 43 D7 18 92 42 76 68 4A 42
1788592615.538698,34680,12,53 3F 7D 43 F2 B5 91 42 C7 1D 40 42
1788592615.549264,34680,12,9D 1F 7B 43 E4 33 93 42 3D E8 47 42
1788592615.562537,34680,12,E7 18 7A 43 5B 5D 9B 42 30 C4 41 42
1788592615.573619,34680,12,18 31 7A 43 28 C5 9F 42 5F 88 48 42
1788592615.584052,34680,12,A4 67 7B 43 95 87 94 42 86 03 4D 42
1788592615.596162,34680,12,93 B5 7D 43 B0 AD 94 42 CF 40 60 42
1788592615.606788,34680,12,D2 86 80 43 26 F0 8F 42 A9 99 5E 42
1788592615.618315,34680,12,4F AE 82 43 33 E3 81 42 1F 48 63 42
1788592615.628911,34680,12,DE 44 85 43 8C F2 79 42 50 42 64 42
1788592615.639435,34680,12,9D 3B 88 43 10 0A 5C 42 49 64 71 42
1788592615.650578,34680,12,83 81 8B 43 5C D6 4D 42 4B B7 6B 42
1788592615.661131,34680,12,BE 03 8F 43 F5 22 33 42 6E C7 74 42
1788592615.671604,34680,12,22 AE 92 43 6F 79 22 42 26 72 77 42
1788592615.682059,34680,12,9C 6B 96 43 5C 54 0D 42 62 17 78 42
1788592615.692510,34680,12,AC 26 9A 43 C7 D4 EB 41 56 D4 78 42
1788592615.702996,34680,12,DE C9 9D 43 1D 36 CA 41 27 DB 84 42
1788592615.713465,34680,12,49 40 A1 43 7B 53 BB 41 20 11 83 42
1788592615.723886,34680,12,04 76 A4 43 9C C3 B8 41 A1 5D 84 42
1788592615.734338,34680,12,9C 58 A7 43 E2 58 A8 41 E9 EB 84 42
1788592615.744769,34680,12,7A D7 A9 43 7A 66 87 41 E0 FA 84 42
1788592615.755385,34680,12,45 E4 AB 43 FA 77 AF 41 ED C0 87 42
1788592615.765819,34680,12,33 73 AD 43 D1 CF CD 41 01 C0 89 42
1788592615.776343,34680,12,50 7B AE 43 A4 4E DE 41 E2 A2 8E 42
1788592615.786843,34680,12,AE F6 AE 43 02 8D 03 42 3E 56 8E 42
1788592615.797464,34680,12,85 E2 AE 43 E7 5D 17 42 52 9D 8B 42
1788592615.808103,34680,12,4B 3F AE 43 77 F2 3E 42 98 06 95 42
1788592615.819843,34680,12,AB 10 AD 43 89 21 5D 42 0B EF 91 42
1788592615.830260,34680,12,6E 5D AB 43 68 83 66 42 0B F1 97 42
1788592615.840848,34680,12,5E 2F A9 43 67 AC 72 42 C0 46 9B 42
1788592615.851434,34680,12,00 93 A6 43 2A E6 79 42 67 BD 9D 42
1788592615.862076,34680,12,59 97 A3 43 D6 3F 93 42 26 E3 98 42
1788592615.872650,34680,12,8F 4D A0 43 4E 33 8F 42 20 AB A3 42
1788592615.883070,34680,12,87 C8 9C 43 08 A6 9F 42 9E D2 98 42
1788592615.893512,34680,12,82 1C 99 43 32 AA 9B 42 CE 5A A7 42
1788592615.904071,34680,12,97 5E 95 43 AE AA A4 42 E7 4A A6 42
1788592615.914641,34680,12,4E A4 91 43 BC 14 9D 42 79 67 A6 42
1788592615.925125,34680,12,14 03 8E 43 FB D2 9F 42 D6 4F AA 42
1788592615.935618,34680,12,C4 8F 8A 43 FF 20 9E 42 E1 AC AA 42
1788592615.947789,34680,12,39 5E 87 43 DD 3E 8E 42 00 AE B3 42
1788592615.959399,34680,12,CC 80 84 43 DD CC 87 42 A7 08 AF 42
1788592615.970825,34680,12,F8 07 82 43 89 4D 72 42 43 FF B4 42
1788592615.981208,34680,12,F2 01 80 43 97 9D 4C 42 0E 4E B1 42
1788592615.991603,34680,12,B8 F4 7C 43 57 84 40 42 3F 0B BB 42
1788592616.002158,34680,12,04 F4 7A 43 D6 32 2B 42 DF CA BB 42
1788592616.016286,34680,12,4A 0D 7A 43 8B 2B 13 42 6C 7C C0 42
1788592616.026775,34680,12,BA 45 7A 43 DE 67 E8 41 03 FC BA 42
1788592616.037228,34680,12,0F 9C 7B 43 41 6F E3 41 2A 27 C4 42
1788592616.048229,34680,12,99 08 7E 43 74 4F C1 41 4A 9D C3 42
1788592616.058778,34680,12,B4 BE 80 43 1C 9E C3 41 DC B8 C3 42
1788592616.069163,34680,12,4F F3 82 43 7E DD AA 41 4B C7 C7 42
1788592616.079593,34680,12,6E 95 85 43 D8 1A B6 41 13 1D CA 42
1788592616.090019,34680,12,EF 95 88 43 A0 B9 B2 41 BC 99 CB 42
1788592616.100453,34680,12,90 E3 8B 43 39 10 DF 41 08 C5 CA 42
1788592616.110878,34680,12,51 6B 8F 43 9F CF C5 41 60 71 CC 42
1788592616.121302,34680,12,EA 18 93 43 17 0D F9 41 08 D7 CB 42
1788592616.132313,34680,12,31 D7 96 43 7D 9F 10 42 4C 7C D4 42
1788592616.143269,34680,12,A4 90 9A 43 89 1B 27 42 3F BA CC 42
1788592616.153911,34680,12,D7 2F 9E 43 60 B6 49 42 60 99 D3 42
1788592616.164512,34680,12,F9 9F A1 43 90 3D 4D 42 3A 69 D7 42
1788592616.175571,34680,12,46 CD A4 43 FB F2 6F 42 86 6B D7 42
