ts,event,session,payload_len,payload_hex
1787900082.000281,34680,0087,12,7F 7A 05 43 FB 66 54 42 00 00 54 42
1787900082.005488,34680,0088,12,D1 04 09 43 3B 71 3C 42 00 00 58 42
1787900082.015747,34680,0089,12,71 30 0C 43 7F F1 24 42 00 00 5C 42
1787900082.026769,34680,008a,12,46 F5 0E 43 7D D7 0E 42 00 00 60 42
1787900082.037285,34680,008b,12,38 4C 11 43 C5 09 F6 41 00 00 64 42
1787900082.047759,34680,008c,12,4E 2F 13 43 C9 87 D4 41 00 00 68 42
1787900082.058024,34680,008d,12,B2 99 14 43 1E 7F BA 41 00 00 6C 42
1787900082.068470,34680,008e,12,C6 87 15 43 7E F9 A8 41 00 00 70 42
1787900082.079087,34680,008f,12,29 F7 15 43 A9 A9 A0 41 00 00 74 42
1787900082.089613,34680,0090,12,BE E6 15 43 7D E4 A1 41 00 00 78 42
1787900082.100035,34680,0091,12,AE 56 15 43 6D 9D AC 41 00 00 7C 42
1787900082.110823,34680,0092,12,6B 48 14 43 0F 67 C0 41 00 00 80 42
1787900082.122631,34680,0093,12,A8 BE 12 43 58 77 DC 41 00 00 82 42
1787900082.133678,34680,0094,12,53 BD 10 43 04 B0 FF 41 00 00 84 42
1787900082.144071,34680,0095,12,90 49 0E 43 B6 54 14 42 00 00 86 42
1787900082.154456,34680,0096,12,A0 69 0B 43 CD E0 2A 42 00 00 88 42
1787900082.165247,34680,0097,12,E0 24 08 43 1B 96 42 42 00 00 8A 42
1787900082.175658,34680,0098,12,AF 83 04 43 9B 82 5A 42 00 00 8C 42
1787900082.186005,34680,0099,12,51 8F 00 43 40 B2 71 42 00 00 8E 42
1787900082.196502,34680,009a,12,D0 A3 F8 42 25 9C 83 42 00 00 90 42
1787900082.206891,34680,009b,12,8E AC EF 42 95 1C 8D 42 00 00 92 42
1787900082.217295,34680,009c,12,D1 4F E6 42 6F F9 94 42 00 00 94 42
1787900082.227991,34680,009d,12,91 A5 DC 42 71 E2 9A 42 00 00 96 42
1787900082.238681,34680,009e,12,7C C6 D2 42 51 9B 9E 42 00 00 98 42
1787900082.249841,34680,009f,12,DD CB C8 42 0D FE 9F 42 00 00 9A 42
1787900082.260955,34680,00a0,12,2E CF BE 42 83 FC 9E 42 00 00 9C 42
1787900082.271415,34680,00a1,12,02 EA B4 42 F5 A0 9B 42 00 00 9E 42
1787900082.281839,34680,00a2,12,AD 35 AB 42 AC 0D 96 42 00 00 A0 42
1787900082.292188,34680,00a3,12,F6 CA A1 42 88 7B 8E 42 00 00 A2 42
1787900082.302680,34680,00a4,12,FB C1 98 42 D0 37 85 42 00 00 A4 42
1787900082.313140,34680,00a5,12,D6 31 90 42 26 42 75 42 00 00 A6 42
1787900082.323617,34680,00a6,12,7A 30 88 42 E0 46 5E 42 00 00 A8 42
1787900082.334013,34680,00a7,12,4C D2 80 42 23 68 46 42 00 00 AA 42
1787900082.345253,34680,00a8,12,5C 54 74 42 A9 99 2E 42 00 00 AC 42
1787900082.355904,34680,00a9,12,52 92 68 42 6A CE 17 42 00 00 AE 42
1787900082.366376,34680,00aa,12,8A 7C 5E 42 08 EF 02 42 00 00 B0 42
1787900082.376819,34680,00ab,12,DC 2C 56 42 3D A1 E1 41 00 00 B2 42
1787900082.387694,34680,00ac,12,73 B8 4F 42 D7 57 C4 41 00 00 B4 42
1787900082.398713,34680,00ad,12,DE 2F 4B 42 F8 2C AF 41 00 00 B6 42
1787900082.409559,34680,00ae,12,B6 9E 48 42 A5 F8 A2 41 00 00 B8 42
1787900082.421729,34680,00af,12,8D 0B 48 42 70 37 A0 41 00 00 BA 42
1787900082.432242,34680,00b0,12,D6 77 49 42 65 05 A7 41 00 00 BC 42
1787900082.442720,34680,00b1,12,F3 DF 4C 42 27 1D B7 41 00 00 BE 42
1787900082.453346,34680,00b2,12,2B 3B 52 42 71 DA CF 41 00 00 C0 42
1787900082.463837,34680,00b3,12,CB 7B 59 42 C7 40 F0 41 00 00 C2 42
1787900082.482117,34680,00b4,12,47 8F 62 42 BF 82 0B 42 00 00 C4 42
1787900082.492586,34680,00b5,12,58 5E 6D 42 58 4E 21 42 00 00 C6 42
1787900082.503155,34680,00b6,12,74 CD 79 42 F5 A4 38 42 00 00 C8 42
1787900082.513538,34680,00b7,12,60 DE 83 42 49 98 50 42 00 00 CA 42
1787900082.523920,34680,00b8,12,4C 84 8B 42 E6 33 68 42 00 00 CC 42
1787900082.534283,34680,00b9,12,ED C4 93 42 D8 86 7E 42 00 00 CE 42
1787900082.550558,34680,00ba,12,1C 8B 9C 42 9A 56 89 42 00 00 D0 42
1787900082.560916,34680,00bb,12,7F C0 A5 42 C2 EC 91 42 00 00 D2 42
1787900082.571621,34680,00bc,12,7C 4D AF 42 36 AE 98 42 00 00 D4 42
1787900082.582127,34680,00bd,12,A5 19 B9 42 00 56 9D 42 00 00 D6 42
1787900082.592540,34680,00be,12,EB 0B C3 42 A0 B4 9F 42 00 00 D8 42
1787900082.602820,34680,00bf,12,D0 0A CD 42 E6 B1 9F 42 00 00 DA 42
1787900082.615053,34680,00c0,12,DB FC D6 42 EE 4D 9D 42 00 00 DC 42
1787900082.625751,34680,00c1,12,91 C8 E0 42 1E A1 98 42 00 00 DE 42
1787900082.636123,34680,00c2,12,E2 54 EA 42 2B DB 91 42 00 00 E0 42
1787900082.646699,34680,00c3,12,61 89 F3 42 36 41 89 42 00 00 E2 42
1787900082.657089,34680,00c4,12,7A 4E FC 42 2C 56 7E 42 00 00 E4 42
1787900082.667489,34680,00c5,12,E9 46 02 43 45 FF 67 42 00 00 E6 42
1787900082.677815,34680,00c6,12,24 19 06 43 CF 61 50 42 00 00 E8 42
1787900082.688568,34680,00c7,12,26 94 09 43 CC 6E 38 42 00 00 EA 42
1787900082.699005,34680,00c8,12,08 AF 0C 43 AA 1A 21 42 00 00 EC 42
1787900082.709470,34680,00c9,12,D8 61 0F 43 9A 53 0B 42 00 00 EE 42
1787900082.719850,34680,00ca,12,B3 A5 11 43 53 EF EF 41 00 00 A0 41
1787900082.730222,34680,00cb,12,CC 74 13 43 12 99 CF 41 00 00 A8 41
1787900082.740595,34680,00cc,12,81 CA 14 43 78 EE B6 41 00 00 B0 41
1787900082.758635,34680,00cd,12,6A A3 15 43 43 EB A6 41 00 00 B8 41
1787900082.769107,34680,00ce,12,59 FD 15 43 E4 32 A0 41 00 00 C0 41
1787900082.779525,34680,00cf,12,6C D7 15 43 E0 09 A3 41 00 00 C8 41
1787900082.793511,34680,00d0,12,01 32 15 43 49 53 AF 41 00 00 D0 41
1787900082.803863,34680,00d1,12,C0 0E 14 43 B8 91 C4 41 00 00 D8 41
1787900082.814260,34680,00d2,12,93 70 12 43 5D EC E1 41 00 00 E0 41
1787900082.824802,34680,00d3,12,9E 5B 10 43 B9 1B 03 42 00 00 E8 41
1787900082.835527,34680,00d4,12,31 D5 0D 43 74 00 18 42 00 00 F0 41
1787900082.845809,34680,00d5,12,C3 E3 0A 43 0D CF 2E 42 00 00 F8 41
1787900082.857093,34680,00d6,12,DB 8E 07 43 C0 9E 46 42 00 00 00 42
1787900082.868989,34680,00d7,12,00 DF 03 43 88 7C 5E 42 00 00 04 42
1787900082.879424,34680,00d8,12,46 BB FF 42 B6 74 75 42 00 00 08 42
1787900082.890601,34680,00d9,12,F6 29 F7 42 8A 4E 85 42 00 00 0C 42
1787900082.900957,34680,00da,12,01 20 EE 42 CC 8E 8E 42 00 00 10 42
1787900082.911511,34680,00db,12,88 B4 E4 42 B6 1C 96 42 00 00 14 42
1787900082.921918,34680,00dc,12,A1 FF DA 42 2D AB 9B 42 00 00 18 42
1787900082.932354,34680,00dd,12,2F 1A D1 42 7B 01 9F 42 00 00 1C 42
1787900082.961145,34680,00de,12,68 1D C7 42 98 FD 9F 42 00 00 20 42
1787900082.973489,34680,00df,12,E5 22 BD 42 72 95 9E 42 00 00 24 42
1787900082.986306,34680,00e0,12,2B 44 B3 42 63 D7 9A 42 00 00 28 42
