ts,event,session,payload_len,payload_hex
1787902425.898454,34680,0002,12,00 00 C8 42 00 00 A0 42 00 00 A0 41
1787902427.246828,34680,0003,12,BC FB D1 42 D3 CD 9E 42 00 00 A8 41
1787902430.106325,34680,0004,12,EF DD DB 42 7F 43 9B 42 00 00 B0 41
1787902432.964012,34680,0005,12,51 8D E5 42 28 85 95 42 00 00 B8 41
1787902444.416566,34680,0007,12,1C F1 EE 42 6A CD 8D 42 00 00 C0 41
1787902447.273668,34680,0008,12,4B F1 F7 42 0B 6B 84 42 00 00 C8 41
1787902450.131333,34680,0009,12,6C 3B 00 43 A1 7B 73 42 00 00 D0 41
1787902452.996398,34680,000a,12,FC 35 04 43 64 65 5C 42 00 00 D8 41
1787902464.422660,34680,000c,12,28 DE 07 43 FD 7E 44 42 00 00 E0 41
1787902467.279615,34680,000d,12,96 2A 0B 43 5A BC 2C 42 00 00 E8 41
1787902470.138177,34680,000e,12,D4 12 0E 43 F8 0F 16 42 00 00 F0 41
1787902472.996651,34680,000f,12,74 8F 10 43 3E 61 01 42 00 00 F8 41
1787902484.436170,34680,0011,12,1A 9A 12 43 86 06 DF 41 00 00 00 42
1787902487.296584,34680,0012,12,8C 2D 14 43 C0 58 C2 41 00 00 04 42
1787902490.193718,34680,0013,12,C2 45 15 43 DD DD AD 41 00 00 08 42
1787902493.051309,34680,0014,12,F0 DF 15 43 DC 66 A2 41 00 00 0C 42
1787902504.463544,34680,0016,12,8B FA 15 43 C5 68 A0 41 00 00 10 42
1787902507.326893,34680,0017,12,4F 95 15 43 EB F7 A7 41 00 00 14 42
1787902510.209056,34680,0018,12,40 B1 14 43 2A C7 B8 41 00 00 18 42
1787902513.078699,34680,0019,12,A4 50 13 43 F1 2A D2 41 00 00 1C 42
