ts,event,session,payload_len,payload_hex
1787902978.302235,34680,0084,12,E9 46 61 43 AE D0 8A 42 00 00 48 42
1787902978.303712,34680,0085,12,22 E2 66 43 9B F3 80 42 00 00 4C 42
1787902978.313914,34680,0086,12,08 AF 6B 43 28 DE 6B 42 00 00 50 42
1787902978.324757,34680,0087,12,09 92 6F 43 FB 66 54 42 00 00 54 42
1787902978.335067,34680,0088,12,CC 74 72 43 3B 71 3C 42 00 00 58 42
1787902978.346067,34680,0089,12,B9 46 74 43 7F F1 24 42 00 00 5C 42
1787902978.357704,34680,008a,12,5A FD 74 43 7D D7 0E 42 00 00 60 42
1787902978.368608,34680,008b,12,93 94 74 43 C5 09 F6 41 00 00 64 42
1787902978.379235,34680,008c,12,C0 0E 73 43 C9 87 D4 41 00 00 68 42
1787902978.389872,34680,008d,12,A4 74 70 43 1E 7F BA 41 00 00 6C 42
1787902978.400701,34680,008e,12,31 D5 6C 43 7E F9 A8 41 00 00 70 42
1787902978.411120,34680,008f,12,3A 45 68 43 A9 A9 A0 41 00 00 74 42
1787902978.421500,34680,0090,12,00 DF 62 43 7D E4 A1 41 00 00 78 42
1787902978.432896,34680,0091,12,8A C1 5C 43 6D 9D AC 41 00 00 7C 42
1787902978.443620,34680,0092,12,00 10 56 43 0F 67 C0 41 00 00 80 42
1787902978.454150,34680,0093,12,DF F0 4E 43 58 77 DC 41 00 00 82 42
1787902978.465131,34680,0094,12,11 8D 47 43 04 B0 FF 41 00 00 84 42
1787902978.475914,34680,0095,12,1F 0F 40 43 B6 54 14 42 00 00 86 42
1787902978.486528,34680,0096,12,16 A2 38 43 CD E0 2A 42 00 00 88 42
1787902978.496868,34680,0097,12,A6 70 31 43 1B 96 42 42 00 00 8A 42
1787902978.507688,34680,0098,12,2A A4 2A 43 9B 82 5A 42 00 00 8C 42
1787902978.518605,34680,0099,12,B5 63 24 43 40 B2 71 42 00 00 8E 42
1787902978.529015,34680,009a,12,42 D3 1E 43 25 9C 83 42 00 00 90 42
1787902978.539372,34680,009b,12,C8 12 1A 43 95 1C 8D 42 00 00 92 42
