messages=189596  overall_positive=0.915

===== split=random  train_pos=0.915 test_pos=0.915 =====
model  train_prev     ROC      PR     MCC  posrate      P      R     min
GRU         0.915   0.500   0.915   0.000    1.000  0.915  1.000     5m
TCN         0.915   0.826   0.983   0.000    1.000  0.915  1.000     4m
GRU         0.500   0.500   0.915   0.000    1.000  0.915  1.000     0m
TCN         0.500   0.816   0.982   0.000    1.000  0.915  1.000     0m
GRU         0.300   0.500   0.915   0.000    1.000  0.915  1.000     0m
TCN         0.300   0.813   0.981   0.000    1.000  0.915  1.000     0m
GRU         0.100   0.500   0.915   0.000    1.000  0.915  1.000     0m
TCN         0.100   0.806   0.980   0.000    1.000  0.915  1.000     0m

saved -> vs_ip_gen/results/balanced_ablation.txt
